
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
11,2.71,36.08,30.67,0.33,0.96,0.93,49.13,4.76,24.36,0.46
12,3.23,34.97,30.67,0.33,0.96,0.93,49.13,4.76,24.36,-0.08
13,3.23,34.97,33.92,-2.47,-1.06,0.77,49.13,4.76,24.36,-0.08
14,3.23,34.97,33.92,-2.47,-1.06,0.77,46.35,4.65,24.49,-0.08
15,2.32,36.17,33.92,-2.47,-1.06,0.77,46.35,4.65,24.49,0.16
16,2.32,36.17,30.28,-2.88,-1.3,0.75,49.51,4.65,24.49,0.16
17,2.32,36.17,30.28,-2.88,-1.3,0.75,49.51,4.42,24.6,0.21
18,1.84,35.43,28.34,-2.88,-1.3,0.75,49.51,4.42,24.6,0.21
19,1.84,35.43,28.34,-1.59,1.24,1.39,50.77,4.42,24.6,0.21
20,1.84,35.43,28.34,-1.59,1.24,1.39,50.77,3.55,24.79,0.19
21,-0.27,34.71,18.07,0.8,1.24,1.39,50.77,3.55,24.79,0.19
22,-0.27,34.71,18.07,0.8,-1.2,0.94,61.16,-7.36,24.79,0.19
23,-0.27,34.71,18.07,0.8,-1.2,0.94,61.16,-7.36,24.93,-1.91
24,5.03,23.03,-31.08,12.15,-1.2,0.94,61.16,-7.36,24.93,-1.91

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7.22,37.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.22,37.95,28.45,-4.2,0.71,0.0,0.0,0.0,0.0,0.0
3,7.22,37.95,28.45,-4.2,0.71,1.79,52.98,14.43,25.05,0.0
4,6.84,38.33,28.45,-4.2,0.71,1.79,52.98,14.43,25.05,0.29
5,6.84,38.33,27.46,-4.16,1.09,1.07,52.98,14.43,25.05,0.29
6,6.84,38.33,27.46,-4.16,1.09,1.07,54.3,14.18,25.29,0.05
7,7.12,37.66,28.65,-4.16,1.09,1.07,54.3,14.18,25.29,0.05
