
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
23,11.67,31.92,-40.57,7.7,-0.26,4.64,146.22,21.95,58.56,-0.52
24,11.67,31.92,-40.57,7.7,-0.26,4.64,146.22,15.82,59.2,-0.92

0,10.71,37.93,-20.12,-13.44,1.79,-7.43,118.34,28.65,83.15,1.37
1,13.62,40.93,-20.03,-13.44,1.79,-7.43,118.34,28.65,83.15,1.37
2,13.62,40.93,-20.03,-6.54,0.78,-3.63,117.13,29.01,83.15,1.37
3,9.29,40.93,-20.03,-6.54,0.78,-3.63,117.13,29.01,82.5,0.03
4,9.29,43.39,-19.33,-6.56,0.78,-3.63,117.13,29.01,82.5,0.03
5,9.29,43.39,-19.33,-6.56,-0.67,-1.79,113.98,22.93,82.5,0.03
6,13.3,43.39,-19.33,-6.56,-0.67,-1.79,113.98,22.93,82.22,0.1
7,13.3,44.39,-19.12,-9.67,-1.51,-1.79,113.98,22.93,82.22,0.1
8,13.3,44.39,-19.12,-9.67,-1.51,-10.1,112.83,37.51,80.81,0.1
9,12.89,43.17,-19.12,-9.67,-1.51,-10.1,112.83,37.51,80.81,0.24
10,12.89,43.17,-18.18,-0.18,1.93,2.12,112.83,37.51,80.81,0.24
11,12.89,43.17,-18.18,-0.18,1.93,2.12,111.81,36.45,80.9,0.37
12,11.84,43.68,-13.84,-0.18,1.93,2.12,111.81,36.45,80.9,0.37
13,11.84,43.68,-13.84,-1.93,4.01,1.8,109.09,36.45,80.9,0.37
14,11.84,43.68,-13.84,-1.93,4.01,1.8,109.09,38.23,81.35,0.05
15,11.78,44.69,-16.49,-3.27,4.01,1.8,109.09,38.23,81.35,0.05
16,11.78,44.69,-16.49,-3.27,0.23,2.12,110.8,35.15,81.35,0.05
17,13.53,44.69,-16.49,-3.27,0.23,2.12,110.8,35.15,81.62,0.85
18,13.53,40.84,-21.03,-3.85,4.64,2.12,110.8,35.15,81.62,0.85
19,13.53,40.84,-21.03,-3.85,4.64,2.32,116.95,32.75,81.62,0.85
20,10.35,40.44,-21.03,-3.85,4.64,2.32,116.95,32.75,81.96,0.33
21,10.35,40.44,-27.2,0.13,1.86,3.5,116.95,32.75,81.96,0.33
22,10.35,40.44,-27.2,0.13,1.86,3.5,125.43,24.57,82.57,0.33
23,10.35,40.44,-27.2,0.13,1.86,3.5,125.43,24.57,82.57,0.46
24,13.62,31.94,-36.52,11.12,1.86,3.5,125.43,24.57,82.57,0.46

0,3.85,-23.6,65.68,-38.8,0.17,8.53,-19.32,1.55,97.4,-3.13
1,3.85,-23.6,65.68,-38.8,0.17,8.53,-19.32,0.21,98.83,-0.07
2,-4.57,-21.0,68.74,-38.8,0.17,8.53,-19.32,0.21,98.83,-0.07
3,-4.57,-21.0,68.74,-46.98,2.26,8.64,-15.05,0.21,98.83,-0.07
4,-4.57,-21.0,68.74,-46.98,2.26,8.64,-15.05,-3.6,100.38,-0.29
5,-7.05,-15.96,79.45,-46.98,2.26,8.64,-15.05,-3.6,100.38,-0.29
6,-7.05,-15.96,79.45,-65.57,6.02,8.7,-10.83,-4.68,100.38,-0.29
7,-7.05,-15.96,79.45,-65.57,6.02,8.7,-10.83,-4.68,101.62,3.96
8,-9.49,-6.29,63.17,-99.98,6.02,8.7,-10.83,-4.68,101.62,3.96
9,-9.49,-6.29,63.17,-99.98,5.26,6.85,-5.29,-8.53,101.62,3.96
